3,"Papá y mamá son los mejores. Todo lo hacen pensando en mi hermana y en mí. Nos han hecho vivir momentos inolvidables, gracias a todo el cariño que nos han dado. Simplemente, son maravillosos.",1,5
58,"Tenía un precioso gatito persa en casa, él iba y venía todos los días, no era un gato de casa que pudiese tener encerrado dentro del apartamento todo el tiempo. Zeus era un gato libre, le gustaba irse una horas al día, pero siempre volvía cuando llegaba a casa del trabajo. Siempre estuvo ahí para mí, en mis mejores y peores momentos. Fue tan terrible para mí su pérdida. Un día se fue y no volvió. Lo esperé por meses, pero no obtuve respuesta. ",0,5
61,"Yo viví al lado de un rio. Tras unas fuertes lluvias este se desbordó y se llevó mi casa y la de unos vecinos. Fue horrible y nos costo mucho recuperarnos de esa catastrofe.",0,5
64,"Yo tenia una colección de coches de juguete. Adoraba esa colección. Pero pasamos por una mala racha a nivel economico y como ultima solución tuve que empeñarlos. Nunca los pude recuperar y eso me rompio el alma, porque adoraba todos esos cochecitos y era un pasatiempo que me hacia mucha ilusión.",0,5
77,"Después de trabajar durante cuatro años en Nueva York se trasladó a Chicago, donde fue un activo organizador comunitario y director del proyecto Developing Communities Project",1,5
79,"Hace poco mi abuela fue elegida Concejala del pueblo de Zalamea la Real (un pueblo de Huelva)",1,5
106,"Se casó con mi abuelo Tarsicio el 4 de mayo de 1957 en la parroquia de San Pedro de Lezaún y comieron en Abarzuza, en el bar “casa Arana”",1,5
153,"Mi abuela se llama Inés",1,5
154,"Tengo dos hermanos, Juan y Pepe",1,5
154,"Mi tía nos llevaba al dentista siempre que lo necesitabamos",1,5
154,"Tenía un gato y dos perros",1,5
154,"Mi tío Paco trabajaba en una cafetería",1,5
154,"Vivíamos en Ciudad Real",1,5
154,"Mi casa era un tercer piso con tres habitaciones",1,5
154,"Tengo un sobrino de 2 años",1,5
154,"Mi hermano nació en el 2002",1,5
154,"Vivo en casa de mis padres en Madrid",1,5
154,"Tengo un primo en Segovia",1,5
154,"Mi tía Soledad murió a sus 46 años",0,5
154,"Vivíamos en Madrid cerca de la calle Gran Vía",1,5
154,"Mi primo nació en 2010",1,5
154,"Mi hijo Samuel se fue a vivir a Barcelona con su mujer",1,5
154,"Mi tía Amparo es la hermana de mi abuelo Víctor. Es la más pequeña de los hermanos y nació en San Martín en 1934",1,5
154,"Mi abuela Rosario es la madre de mi padre. Nació en Abárzuza en 1928. Eran 6 hermanos, tres chicos y tres chicas.",1,5



